file,line,type,commit,author,date,time,timezone,datetime,depth,length
styles.css,50,css,6a65b3c5,Neil Dandekar,2025-01-25,15:40:35,-08:00,2025-01-25T15:40:35-08:00,1,29
styles.css,51,css,6a65b3c5,Neil Dandekar,2025-01-25,15:40:35,-08:00,2025-01-25T15:40:35-08:00,1,51
styles.css,52,css,6a65b3c5,Neil Dandekar,2025-01-25,15:40:35,-08:00,2025-01-25T15:40:35-08:00,0,0
styles.css,53,css,6a65b3c5,Neil Dandekar,2025-01-25,15:40:35,-08:00,2025-01-25T15:40:35-08:00,0,0
styles.css,54,css,6a65b3c5,Neil Dandekar,2025-01-25,15:40:35,-08:00,2025-01-25T15:40:35-08:00,0,11
styles.css,55,css,6a65b3c5,Neil Dandekar,2025-01-25,15:40:35,-08:00,2025-01-25T15:40:35-08:00,1,65
styles.css,56,css,6a65b3c5,Neil Dandekar,2025-01-25,15:40:35,-08:00,2025-01-25T15:40:35-08:00,0,0
styles.css,57,css,6a65b3c5,Neil Dandekar,2025-01-25,15:40:35,-08:00,2025-01-25T15:40:35-08:00,0,0
styles.css,58,css,6a65b3c5,Neil Dandekar,2025-01-25,15:40:35,-08:00,2025-01-25T15:40:35-08:00,0,9
styles.css,59,css,6a65b3c5,Neil Dandekar,2025-01-25,15:40:35,-08:00,2025-01-25T15:40:35-08:00,1,44
styles.css,60,css,6a65b3c5,Neil Dandekar,2025-01-25,15:40:35,-08:00,2025-01-25T15:40:35-08:00,1,29
styles.css,61,css,6a65b3c5,Neil Dandekar,2025-01-25,15:40:35,-08:00,2025-01-25T15:40:35-08:00,0,0
styles.css,62,css,6a65b3c5,Neil Dandekar,2025-01-25,15:40:35,-08:00,2025-01-25T15:40:35-08:00,0,0
styles.css,63,css,6a65b3c5,Neil Dandekar,2025-01-25,15:40:35,-08:00,2025-01-25T15:40:35-08:00,0,11
styles.css,64,css,6a65b3c5,Neil Dandekar,2025-01-25,15:40:35,-08:00,2025-01-25T15:40:35-08:00,1,14
styles.css,65,css,6a65b3c5,Neil Dandekar,2025-01-25,15:40:35,-08:00,2025-01-25T15:40:35-08:00,1,57
styles.css,66,css,6a65b3c5,Neil Dandekar,2025-01-25,15:40:35,-08:00,2025-01-25T15:40:35-08:00,1,29
styles.css,67,css,a28746e8,Neil Dandekar,2025-01-18,23:42:40,-08:00,2025-01-18T23:42:40-08:00,0,0
index.js,1,js,b21d3143,Neil Dandekar,2025-02-01,23:09:41,-08:00,2025-02-01T23:09:41-08:00,0,52
index.js,2,js,7a605724,Neil Dandekar,2025-02-01,23:07:14,-08:00,2025-02-01T23:07:14-08:00,0,0
index.js,3,js,7a605724,Neil Dandekar,2025-02-01,23:07:14,-08:00,2025-02-01T23:07:14-08:00,0,55
index.js,4,js,7a605724,Neil Dandekar,2025-02-01,23:07:14,-08:00,2025-02-01T23:07:14-08:00,1,58
index.js,5,js,7a605724,Neil Dandekar,2025-02-01,23:07:14,-08:00,2025-02-01T23:07:14-08:00,1,20
index.js,6,js,7a605724,Neil Dandekar,2025-02-01,23:07:14,-08:00,2025-02-01T23:07:14-08:00,2,50
index.js,7,js,7a605724,Neil Dandekar,2025-02-01,23:07:14,-08:00,2025-02-01T23:07:14-08:00,2,68
index.js,8,js,7a605724,Neil Dandekar,2025-02-01,23:07:14,-08:00,2025-02-01T23:07:14-08:00,2,24
index.js,9,js,7a605724,Neil Dandekar,2025-02-01,23:07:14,-08:00,2025-02-01T23:07:14-08:00,2,52
index.js,10,js,7a605724,Neil Dandekar,2025-02-01,23:07:14,-08:00,2025-02-01T23:07:14-08:00,1,0
index.js,11,js,7a605724,Neil Dandekar,2025-02-01,23:07:14,-08:00,2025-02-01T23:07:14-08:00,0,0
index.html,1,html,b3eabee,Neil Dandekar,2025-01-10,20:25:50,-08:00,2025-01-10T20:25:50-08:00,0,11
index.html,2,html,b3eabee,Neil Dandekar,2025-01-10,20:25:50,-08:00,2025-01-10T20:25:50-08:00,0,12
index.html,3,html,b3eabee,Neil Dandekar,2025-01-10,20:25:50,-08:00,2025-01-10T20:25:50-08:00,1,2
index.html,4,html,b3eabee,Neil Dandekar,2025-01-10,20:25:50,-08:00,2025-01-10T20:25:50-08:00,2,20
index.html,5,html,b3eabee,Neil Dandekar,2025-01-10,20:25:50,-08:00,2025-01-10T20:25:50-08:00,2,68
index.html,6,html,2b2980da,Neil Dandekar,2025-01-24,16:59:25,-08:00,2025-01-24T16:59:25-08:00,2,24
index.html,7,html,a28746e8,Neil Dandekar,2025-01-18,23:42:40,-08:00,2025-01-18T23:42:40-08:00,0,0
index.html,8,html,2b2980da,Neil Dandekar,2025-01-24,16:59:25,-08:00,2025-01-24T16:59:25-08:00,2,29
index.html,9,html,2b2980da,Neil Dandekar,2025-01-24,16:59:25,-08:00,2025-01-24T16:59:25-08:00,2,4
index.html,10,html,15ee4953,Neil Dandekar,2025-01-24,17:16:08,-08:00,2025-01-24T17:16:08-08:00,3,48
index.html,11,html,2b2980da,Neil Dandekar,2025-01-24,16:59:25,-08:00,2025-01-24T16:59:25-08:00,3,41
index.html,12,html,2b2980da,Neil Dandekar,2025-01-24,16:59:25,-08:00,2025-01-24T16:59:25-08:00,3,0
index.html,13,html,2b2980da,Neil Dandekar,2025-01-24,16:59:25,-08:00,2025-01-24T16:59:25-08:00,4,39
index.html,14,html,2b2980da,Neil Dandekar,2025-01-24,16:59:25,-08:00,2025-01-24T16:59:25-08:00,4,36
index.html,15,html,2b2980da,Neil Dandekar,2025-01-24,16:59:25,-08:00,2025-01-24T16:59:25-08:00,3,0
index.html,16,html,2b2980da,Neil Dandekar,2025-01-24,16:59:25,-08:00,2025-01-24T16:59:25-08:00,4,57
index.html,17,html,2b2980da,Neil Dandekar,2025-01-24,16:59:25,-08:00,2025-01-24T16:59:25-08:00,3,4
index.html,18,html,e7a9e46a,Neil Dandekar,2025-01-24,17:10:05,-08:00,2025-01-24T17:10:05-08:00,4,66
index.html,19,html,2b2980da,Neil Dandekar,2025-01-24,16:59:25,-08:00,2025-01-24T16:59:25-08:00,3,0
index.html,20,html,15ee4953,Neil Dandekar,2025-01-24,17:16:08,-08:00,2025-01-24T17:16:08-08:00,0,0
index.html,21,html,15ee4953,Neil Dandekar,2025-01-24,17:16:08,-08:00,2025-01-24T17:16:08-08:00,3,47
index.html,22,html,15ee4953,Neil Dandekar,2025-01-24,17:16:08,-08:00,2025-01-24T17:16:08-08:00,3,39
index.html,23,html,2b2980da,Neil Dandekar,2025-01-24,16:59:25,-08:00,2025-01-24T16:59:25-08:00,2,5
index.html,24,html,edb9c61f,Neil Dandekar,2025-01-18,23:46:11,-08:00,2025-01-18T23:46:11-08:00,0,0
index.html,25,html,a28746e8,Neil Dandekar,2025-01-18,23:42:40,-08:00,2025-01-18T23:42:40-08:00,2,39
index.html,26,html,7a605724,Neil Dandekar,2025-02-01,23:07:14,-08:00,2025-02-01T23:07:14-08:00,2,48
index.html,27,html,b3eabee,Neil Dandekar,2025-01-10,20:25:50,-08:00,2025-01-10T20:25:50-08:00,1,3
index.html,28,html,b3eabee,Neil Dandekar,2025-01-10,20:25:50,-08:00,2025-01-10T20:25:50-08:00,1,2
